N,Z,binding,A,binding_MeV,N_frontier,d
82,56,8393.4222,138,1158.2922636000003,86.0,-4.0
28,26,8736.3846,54,471.7647684,40.7,-12.700000000000003
59,50,8470.5183,109,923.2864947,77.7,-18.700000000000003
118,86,7780.5743,204,1587.2371572000002,133.6,-15.599999999999994
26,18,8493.8411,44,373.72900839999994,28.099999999999998,-2.099999999999998
67,47,8493.7786,114,968.2907603999998,73.0,-6.0
46,42,8523.9087,88,750.1039656,65.6,-19.599999999999994
85,74,7867.0,159,1250.853,111.0,-26.0
35,23,8458.156,58,490.57304800000003,36.5,-1.5
23,24,8407.2067,47,395.1387149000001,37.599999999999994,-14.599999999999994
62,48,8551.2755,110,940.6403049999999,74.0,-12.0
140,95,7565.1582,235,1777.812177,148.0,-8.0
80,70,7965.0,150,1194.75,104.2,-24.200000000000003
11,13,7649.5806,24,183.5899344,23.4,-12.399999999999999
20,19,8557.0258,39,333.7240062,29.799999999999997,-9.799999999999997
104,74,8029.2584,178,1429.2079952,111.0,-7.0
114,83,7841.6348,197,1544.8020556,129.0,-15.0
107,74,8017.9494,181,1451.2488414000002,111.0,-4.0
21,20,8546.7075,41,350.4150075,30.799999999999997,-9.799999999999997
139,97,7523.0,236,1775.4279999999999,150.6,-11.599999999999994
52,41,8664.1849,93,805.7691957000001,64.5,-12.5
67,60,8142.0,127,1034.0339999999999,91.6,-24.599999999999994
52,44,8609.413,96,826.503648,69.0,-17.0
62,46,8567.0241,108,925.2386028000001,72.7,-10.700000000000003
56,50,8432.0383,106,893.7960598000001,77.7,-21.700000000000003
137,94,7587.1224,231,1752.6252744,147.3,-10.300000000000011
110,80,7907.0174,190,1502.333306,122.19999999999999,-12.199999999999989
102,70,8097.4295,172,1392.7578740000001,104.2,-2.200000000000003
57,49,8470.1213,106,897.8328578,75.7,-18.700000000000003
111,81,7876.0167,192,1512.1952064,124.4,-13.400000000000006
44,44,8298.0,88,730.224,69.0,-25.0
7,4,5952.5402,11,65.4779422,8.7,-1.6999999999999993
38,26,8612.3888,64,551.1928832000001,40.7,-2.700000000000003
136,91,7639.4945,227,1734.1652514999998,139.6,-3.5999999999999943
32,23,8637.3391,55,475.0536504999999,36.5,-4.5
75,58,8349.8301,133,1110.5274032999998,88.6,-13.599999999999994
53,43,8614.8673,96,827.0272608,67.9,-14.900000000000006
